date,area,granular
180224,TEd,7
180317,TEm,9
180325,TEm,7
180407,TEd,6
180411,TEd,7
180413,TEm,7
180418,TEd,6
180420,TEm,6
180424,TEd,6
180501,TEd,11
180504,TEd,12
180506,TEd,11
180508,TEm,8
180511,TEm,11
180513,TEd,10
180515,TEm,
180520,TEm,
180523,TEd,9
180530,TEd,10
180603,TEm,8
180606,TEd,10
180610,TEd,8
180614,TEm,6
180617,TEd,8
180620,TEd,9
180622,TEd,8
180624,TEd,8
